cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"10384853000128";"1";"ASSOCIACAO DESPORTIVA RODA BRASIL - ADRB";"RODA BRASIL - ADRB";"9329801";"Discotecas danceterias salões de dança e similares"
"10461175000150";"1";"CLUBE DA COMUNIDADE ARENA RADICAL";"ARENA RADICAL";"5611203";"Lanchonetes casas de chá de sucos e similares"
"10461175000150";"1";"CLUBE DA COMUNIDADE ARENA RADICAL";"ARENA RADICAL";"9319101";"Produção e promoção de eventos esportivos"
"10461175000150";"1";"CLUBE DA COMUNIDADE ARENA RADICAL";"ARENA RADICAL";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"10464809000128";"1";"JB GESTORA DE ATIVOS E PARTICIPACOES S/A";"";"6810201";"Compra e venda de imóveis próprios"
"10468717000116";"1";"REAL BOLA GRAMA SINTETICA LTDA";"REAL BOLA";"9311500";"Gestão de instalações de esportes"
"10476997000104";"1";"ASSOCIACAO ATLETICA NOVA GERACAO";"ASANGE";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"10506928000104";"1";"CLUBE ATLETICO BARRA DA TIJUCA LTDA";"CLUBE ATLETICO BARRA DA TIJUCA";"7490105";"Agenciamento de profissionais para atividades esportivas culturais e artísticas"
"10506928000104";"1";"CLUBE ATLETICO BARRA DA TIJUCA LTDA";"CLUBE ATLETICO BARRA DA TIJUCA";"7490199";"Outras atividades profissionais científicas e técnicas não especificadas anteriormente"
"10506928000104";"1";"CLUBE ATLETICO BARRA DA TIJUCA LTDA";"CLUBE ATLETICO BARRA DA TIJUCA";"9311500";"Gestão de instalações de esportes"
"10529905000107";"1";"PARAISO BASQUETEBOL LTDA";"";"8591100";"Ensino de esportes"
"10548751000109";"1";"ASSOCIACAO PATRULHA CIVIL VOLUNTARIA DE RESGATE, SOCORRO E SALVAMENTO";"";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
"10548751000109";"1";"ASSOCIACAO PATRULHA CIVIL VOLUNTARIA DE RESGATE, SOCORRO E SALVAMENTO";"";"8599699";"Outras atividades de ensino não especificadas anteriormente"
"10548751000109";"1";"ASSOCIACAO PATRULHA CIVIL VOLUNTARIA DE RESGATE, SOCORRO E SALVAMENTO";"";"9312300";"Clubes sociais esportivos e similares"
"10553298000110";"1";"RAFAEL DA SILVA SOUZA";"CLUBE CALCADAO DA PRAIA";"4721104";"Comércio varejista de doces balas bombons e semelhantes"
"10553298000110";"1";"RAFAEL DA SILVA SOUZA";"CLUBE CALCADAO DA PRAIA";"4723700";"Comércio varejista de bebidas"
"10553298000110";"1";"RAFAEL DA SILVA SOUZA";"CLUBE CALCADAO DA PRAIA";"7721700";"Aluguel de equipamentos recreativos e esportivos"
"10555672000117";"1";"JOSE JOEL TRINDADE NEUMANN";"BALNEARIO NEUMANN";"5611201";"Restaurantes e similares"
"10555672000117";"1";"JOSE JOEL TRINDADE NEUMANN";"BALNEARIO NEUMANN";"5611203";"Lanchonetes casas de chá de sucos e similares"
"10580643000105";"1";"ASSOCIACAO DE ESPORTE DA JATIUCA";"ASSOCIACAO DE ESPORTE DA JATIUCA";"9319101";"Produção e promoção de eventos esportivos"
"10648120000153";"1";"ASSOCIACAO DO CLUBE DE TIRO E CACA DO CERRADO - CTCC";"ASSOCIACAO DO CLUBE E ESTANDE DE TIRO E CACA DO CERRADO";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"0119906";"Cultivo de mandioca"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"3311200";"Manutenção e reparação de tanques reservatórios metálicos e caldeiras exceto para veículos"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"8011101";"Atividades de vigilância e segurança privada"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"8591100";"Ensino de esportes"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"8599604";"Treinamento em desenvolvimento profissional e gerencial"
"10663423000145";"1";"J RODRIGUES DE JESUS";"CLUBE DE TIRO E CACA J R";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"10669887000169";"1";"GREMIO RECREATIVO CIDADE FERNAO DIAS";"GREMIO";"9319101";"Produção e promoção de eventos esportivos"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"3811400";"Coleta de resíduos não perigosos"
"10705975000179";"1";"GREMIO RECREATIVO E ESPORTIVO SAMBURA";"GREMIO SAMBURA";"3821100";"Tratamento e disposição de resíduos não perigosos"
